Order Id, Order Ref, Fulfilment Id, Status, CreatedOn
1210416,3001963910,1869377,Recolectado,2021-02-27T22:01:55.063Z,
1210406,3001963904,1869358,Recolectado,2021-02-27T21:58:43.889Z,
1210252,3001963676,1869117,Recolectado,2021-02-27T20:51:54.636Z,
1210241,3001963623,1869095,Recolectado,2021-02-27T20:46:06.308Z,
1210233,3001963662,1869092,Recolectado,2021-02-27T20:45:06.430Z,
1210217,3001963647,1869074,Recolectado,2021-02-27T20:38:28.648Z,
1210216,3001963646,1869073,Recolectado,2021-02-27T20:38:05.188Z,
1210123,1001963556,1868952,Recolectado,2021-02-27T20:08:24.202Z,
1210119,3001963402,1868948,Recolectado,2021-02-27T20:05:05.780Z,
1210115,1001963544,1868944,Recolectado,2021-02-27T20:03:00.766Z,
1210098,3001963533,1868922,Recolectado,2021-02-27T19:57:31.446Z,
1210072,3001963363,1868898,Recolectado,2021-02-27T19:46:16.540Z,
1210072,3001963363,1868897,Recolectado,2021-02-27T19:46:14.907Z,
1210072,3001963363,1868895,Recolectado,2021-02-27T19:46:13.741Z,
1210068,3001963499,1868884,Recolectado,2021-02-27T19:45:22.473Z,
1210068,3001963499,1868883,Recolectado,2021-02-27T19:45:19.679Z,
1210068,3001963499,1868882,Recolectado,2021-02-27T19:45:17.485Z,
1210068,3001963499,1868881,Recolectado,2021-02-27T19:45:16.321Z,
1210005,1001963333,1868785,Recolectado,2021-02-27T19:20:30.832Z,
1210003,3001963346,1868779,Recolectado,2021-02-27T19:19:40.966Z,
1210003,3001963346,1868778,Recolectado,2021-02-27T19:19:37.852Z,
1210003,3001963346,1868777,Recolectado,2021-02-27T19:19:36.667Z,
1209997,3001963338,1868769,Recolectado,2021-02-27T19:17:42.403Z,
1209996,1001963319,1868766,Recolectado,2021-02-27T19:17:21.202Z,
1209990,3001963238,1868763,Recolectado,2021-02-27T19:16:20.778Z,
1209990,3001963238,1868762,Recolectado,2021-02-27T19:16:19.613Z,
1209990,3001963238,1868761,Recolectado,2021-02-27T19:16:18.261Z,
1209990,3001963238,1868760,Recolectado,2021-02-27T19:16:16.040Z,
1209993,3001963253,1868754,Recolectado,2021-02-27T19:16:09.081Z,
1209946,1001963222,1868704,Recolectado,2021-02-27T19:01:19.628Z,
1209946,1001963222,1868703,Recolectado,2021-02-27T19:01:16.978Z,
1209946,1001963222,1868702,Recolectado,2021-02-27T19:01:15.442Z,
1209946,1001963222,1868701,Recolectado,2021-02-27T19:01:14.152Z,
1209822,1001963012,1868523,Recolectado,2021-02-27T18:15:05.536Z,
1209781,3001962987,1868456,Recolectado,2021-02-27T18:00:38.203Z,
1209777,1001962962,1868454,Recolectado,2021-02-27T18:00:36.782Z,
1209726,3001962957,1868391,Recolectado,2021-02-27T17:38:42.361Z,
1209725,3001962955,1868390,Recolectado,2021-02-27T17:38:24.161Z,
1209700,2001962880,1868353,Recolectado,2021-02-27T17:24:58.730Z,
1209645,3001962838,1868294,Recolectado,2021-02-27T17:08:29.199Z,
1209588,3001962618,1868227,Recolectado,2021-02-27T16:44:41.925Z,
1209566,3001962721,1868201,Recolectado,2021-02-27T16:30:51.719Z,
1209565,3001962719,1868200,Recolectado,2021-02-27T16:30:22.216Z,
1209477,3001962534,1868089,Recolectado,2021-02-27T15:46:06.163Z,
1209460,1001962528,1868058,Recolectado,2021-02-27T15:37:29.915Z,
1209447,1001962563,1868042,Recolectado,2021-02-27T15:31:04.789Z,
1209411,3001962553,1867999,Recolectado,2021-02-27T15:04:41.998Z,
