fulfilment Id, SKURef, Item Id, Filled Qty 
2097254,40761974,2879273,0,
2097254,40761978,2879274,0,
2097254,40761980,2879275,0,
2101364,38349756,2885720,0,
2101364,40553597,2885721,0,
2101638,40852229,2886119,0,
2101938,38674363,2886534,0,
2101943,30896249,2886539,1,
2102099,41618444,2886767,0,
2102634,40894517,2887560,0,
2102641,41191731,2887568,0,
2103074,41261340,2888187,0,
2103138,41054030,2888289,0,
2103138,41232569,2888290,0,
2103272,41618444,2888489,0,
2103480,40553597,2888825,0,
2104132,38777955,2889776,0,
2104147,40761974,2889793,0,
2104144,40381885,2889789,0,
2105291,40935729,2891464,0,
2105599,40169021,2891927,0,
2105950,37331018,2892425,0,
2105950,37331019,2892424,0,
2106103,41191564,2892640,0,
2106728,19688365,2893584,0,
2106773,40442854,2893643,0,
2106870,41618444,2893785,0,
2106805,40894530,2893687,0,
2107510,41544711,2894700,0,
2107679,41236998,2894937,0,
2108900,40181794,2896704,0,
2111035,40459698,2899875,0,
2111257,40894526,2900205,0,
2111264,41556612,2900214,0,
2214105,38619943,3045080,0,
2111614,39610052,2900669,0,
2111614,40819973,2900670,0,
2111749,40815765,2900856,0,
2111749,40815766,2900855,0,
2111749,40815767,2900857,0,
2111859,41556612,2901012,0,
2112420,41556612,2901829,0,
2112511,40126234,2901955,0,
2112783,41644176,2902343,0,
2112784,40831218,2902344,0,
2112894,41191564,2902491,0,
2113018,40894510,2902672,0,
2113107,38603124,2902809,0,
2113274,41575731,2903043,0,
2113902,41191730,2903936,0,
2113977,39598049,2904061,0,
2113978,36672503,2904062,0,
2113978,38461129,2904063,0,
2113978,39009936,2904064,0,
2114376,41001394,2904633,0,
2114394,41237000,2904654,0,
2114466,41556612,2904756,0,
2114794,40894525,2905232,0,
2114919,41610684,2905415,0,
2115242,41641861,2905862,0,
2116288,37317825,2907377,0,
2116196,40894530,2907256,0,
2116282,40894513,2907369,0,
2116322,40894533,2907417,0,
2116373,41191564,2907484,0,
2116616,41232568,2907842,0,
2116723,41618444,2908008,0,
2116821,40459698,2908147,0,
2116845,40852229,2908188,0,
2116920,40050089,2908296,0,
2117510,41017578,2909163,0,
2117511,41017576,2909164,0,
2117511,41136335,2909165,0,
2118391,40143436,2910460,0,
2121270,39500412,2914724,0,
2121226,40894527,2914667,0,
2121638,38206237,2915278,0,
2122067,39987594,2915892,0,
2122771,38619943,2916891,0,
2122771,40283497,2916892,0,
2122656,36482003,2916733,0,
2122910,38349756,2917082,0,
2123190,40126235,2917512,0,
2123422,40338136,2917882,0,
2123505,41618444,2917999,0,
2123748,40894524,2918355,0,
2123999,41054044,2918721,0,
2124069,38619943,2918824,0,
2124069,40986447,2918825,0,
2124903,41222632,2919995,0,
2125857,38638087,2921372,0,
2126159,39610052,2921785,0,
2126159,40819973,2921786,0,
2126265,18822246,2921952,0,
2127437,41025844,2923671,0,
2130195,19688365,2927690,0,
2130531,41191730,2928156,0,
2130869,41222632,2928629,0,
2131037,38619943,2928870,0,
2131037,40986447,2928871,0,
2131609,41264402,2929671,0,
2131932,41054038,2930125,0,
2132114,41222636,2930371,0,
2134004,41001392,2933057,0,
2134097,41618444,2933181,0,
2134104,41575731,2933192,0,
2134119,41001392,2933209,0,
2134499,41237002,2933709,0,
2134601,40894513,2933845,0,
2137479,41261338,2937974,0,
2137584,37140590,2938109,0,
2138501,40973670,2939437,0,
2138692,41618444,2939718,0,
2138710,41191730,2939738,0,
2138803,41386601,2939866,0,
2139223,37140590,2940498,0,
2139288,41134833,2940595,0,
2139512,37850907,2940906,0,
2213896,41648510,3044806,0,
2140139,41054041,2941787,0,
2140285,41237009,2942002,0,
2140727,39147513,2942583,0,
2140790,41648513,2942673,0,
2140712,30004860,2942564,0,
2141096,39009934,2943100,0,
2141096,41235845,2943102,0,
2141096,41687230,2943101,0,
2213892,38499949,3044802,0,
2141685,40894527,2943902,0,
2141727,40430345,2943961,0,
2141781,39029919,2944038,0,
2141892,40894524,2944217,0,
2142070,41222636,2944512,0,
2142270,39995450,2944806,0,
