fulfilment Id, SKURef, Item Id, Filled Qty 
1044713,41222637,1415206,0,
1045744,41222637,1416607,0,
1046563,41222637,1417691,0,
1047635,39242152,1419171,0,
1048964,37541905,1421041,0,
1052059,41228090,1425173,0,
1059982,16077352,1435844,0,
1062486,41222637,1439243,0,
1063155,41222637,1440138,0,
1068329,40986448,1447169,0,
1064291,39961562,1441611,0,
1068847,39419987,1447901,0,
1071022,40511531,1450919,0,
1073252,38500872,1454012,0,
1073252,39943821,1454011,0,
1073235,41154411,1453991,0,
1075785,41153535,1457287,0,
1076150,41153535,1457728,0,
1076798,41228086,1458612,0,
1076838,40749866,1458672,0,
1076838,39200301,1458673,1,
1076838,39200290,1458674,1,
1076838,38554801,1458675,1,
1078441,40894533,1460944,0,
1079196,41237009,1461953,1,
1079459,38089700,1462303,0,
1079490,40603926,1462344,0,
1080161,36617282,1463269,0,
1082175,39961562,1466175,0,
1082309,40770477,1466351,0,
1084374,40330808,1469225,0,
1086231,41228090,1471776,0,
1087685,15018548,1473816,0,
1087864,18885663,1474081,0,
1087864,38179555,1474082,0,
1087864,40553598,1474080,0,
1089579,41134833,1476482,0,
1092106,40852203,1479969,0,
1098655,40343972,1489233,0,
1099542,40894533,1490583,0,
1101507,38371545,1493251,0,
1101362,40894530,1493052,0,
1101411,41222635,1493120,0,
1102484,40926246,1494576,0,
1102757,41237009,1494936,0,
1104225,41222636,1497004,0,
1107438,40894530,1501132,0,
1109547,41015040,1504028,0,
1115726,40894527,1512648,0,
1116590,40894533,1513863,0,
1116672,40195301,1513967,0,
1116736,39995431,1514041,0,
1120352,40894530,1519303,0,
1121819,40301574,1521344,0,
1122545,41198758,1522400,0,
1122740,40894510,1522670,0,
1122878,40894517,1522885,0,
1123121,40894527,1523234,0,
1123136,40283497,1523271,0,
1123865,40283497,1524228,0,
1124074,41222637,1524477,0,
1124695,40894530,1525344,0,
1125303,41222637,1526164,0,
1125543,38638087,1526504,0,
1125845,40283497,1526904,0,
1125846,38619943,1526905,0,
1125952,41222637,1527035,0,
1127989,38273634,1529899,0,
1129046,40283497,1531407,0,
1130504,40283497,1533462,0,
1132949,38554813,1536949,0,
