Order Id, Order Ref, Fulfilment Id, Status, CreatedOn
1266719,3002049476,1937440,Recolectado,2021-03-31T06:48:30.316Z,
1266699,3002049456,1937418,Recolectado,2021-03-31T06:26:38.242Z,
1266699,3002049456,1937417,Recolectado,2021-03-31T06:26:35.940Z,
1266688,1002049543,1937405,Recolectado,2021-03-31T06:15:08.046Z,
1266670,3002049437,1937387,Recolectado,2021-03-31T05:59:14.926Z,
1266659,3002049430,1937375,Recolectado,2021-03-31T05:46:20.518Z,
1266648,3002049323,1937363,Recolectado,2021-03-31T05:43:31.534Z,
1266624,3002049308,1937336,Recolectado,2021-03-31T05:23:09.553Z,
1266622,3002049390,1937334,Recolectado,2021-03-31T05:21:27.505Z,
1266606,3002049297,1937315,Recolectado,2021-03-31T05:08:15.899Z,
1266605,3002049371,1937314,Recolectado,2021-03-31T05:07:11.957Z,
1266580,3002049344,1937288,Recolectado,2021-03-31T04:49:58.862Z,
1266576,3002049338,1937284,Recolectado,2021-03-31T04:48:23.207Z,
1266563,3002049210,1937268,Recolectado,2021-03-31T04:44:12.465Z,
1266562,3002049209,1937267,Recolectado,2021-03-31T04:43:17.995Z,
1266555,3002049265,1937260,Recolectado,2021-03-31T04:35:45.747Z,
1266538,1002049185,1937243,Recolectado,2021-03-31T04:26:47.004Z,
1266489,1002049092,1937183,Recolectado,2021-03-31T04:00:05.413Z,
1266458,1002049101,1937146,Recolectado,2021-03-31T03:43:30.117Z,
1266450,3002049090,1937138,Recolectado,2021-03-31T03:39:28.170Z,
1266434,3002049081,1937121,Recolectado,2021-03-31T03:29:19.128Z,
1266427,3002048997,1937111,Recolectado,2021-03-31T03:26:39.918Z,
1266420,3002049063,1937104,Recolectado,2021-03-31T03:22:18.337Z,
1266419,1002049062,1937103,Recolectado,2021-03-31T03:22:10.451Z,
1266412,1002049055,1937096,Recolectado,2021-03-31T03:16:42.752Z,
1266407,1002048926,1937089,Recolectado,2021-03-31T03:16:05.404Z,
1266372,3002048969,1937052,Recolectado,2021-03-31T02:59:36.852Z,
1266367,1002048916,1937047,Recolectado,2021-03-31T02:56:09.969Z,
1266358,3002048903,1937036,Recolectado,2021-03-31T02:50:11.571Z,
1266338,3002048890,1937010,Recolectado,2021-03-31T02:43:41.971Z,
1266338,3002048890,1937009,Recolectado,2021-03-31T02:43:39.672Z,
1266334,3002048945,1937004,Recolectado,2021-03-31T02:41:40.818Z,
1266311,1002048858,1936974,Recolectado,2021-03-31T02:31:07.280Z,
1266307,1002048831,1936973,Recolectado,2021-03-31T02:31:06.954Z,
1266309,3002048725,1936972,Recolectado,2021-03-31T02:31:05.253Z,
1266270,3002048820,1936928,Recolectado,2021-03-31T02:10:42.449Z,
1266245,2002048801,1936902,Recolectado,2021-03-31T01:52:42.679Z,
1266225,1002048682,1936878,Recolectado,2021-03-31T01:42:15.267Z,
1266213,1002048670,1936866,Recolectado,2021-03-31T01:32:00.541Z,
1266207,2002048667,1936859,Recolectado,2021-03-31T01:28:08.789Z,
1266198,1002048750,1936847,Recolectado,2021-03-31T01:25:03.731Z,
1266163,1002048614,1936805,Recolectado,2021-03-31T01:06:20.013Z,
1266163,1002048614,1936804,Recolectado,2021-03-31T01:06:17.979Z,
1266163,1002048614,1936803,Recolectado,2021-03-31T01:06:15.935Z,
1266132,3002048567,1936760,Recolectado,2021-03-31T00:46:08.303Z,
1266123,1002048584,1936755,Recolectado,2021-03-31T00:45:10.025Z,
1266117,3002048582,1936749,Recolectado,2021-03-31T00:43:55.911Z,
1266111,3002048575,1936742,Recolectado,2021-03-31T00:41:11.133Z,
1266096,2002048558,1936721,Recolectado,2021-03-31T00:31:21.701Z,
1266065,1002048408,1936671,Recolectado,2021-03-31T00:08:53.069Z,
1266043,3002048519,1936643,Recolectado,2021-03-30T23:56:48.693Z,
1266039,3002048399,1936640,Recolectado,2021-03-30T23:55:19.113Z,
1266025,3002048501,1936621,Recolectado,2021-03-30T23:46:06.056Z,
1266002,1002048383,1936594,Recolectado,2021-03-30T23:34:24.647Z,
1265992,3002048459,1936579,Recolectado,2021-03-30T23:30:35.861Z,
1265984,3002048378,1936572,Recolectado,2021-03-30T23:27:46.668Z,
1265983,1002048465,1936570,Recolectado,2021-03-30T23:25:53.940Z,
1265972,1002048372,1936557,Recolectado,2021-03-30T23:19:17.817Z,
1265961,3002048440,1936546,Recolectado,2021-03-30T23:13:00.781Z,
1265950,1002048331,1936532,Recolectado,2021-03-30T23:07:37.028Z,
1265949,3002048330,1936531,Recolectado,2021-03-30T23:07:33.838Z,
1265926,1002048348,1936505,Recolectado,2021-03-30T22:55:24.820Z,
1265911,1002048127,1936487,Recolectado,2021-03-30T22:46:05.720Z,
1265909,1002048300,1936485,Recolectado,2021-03-30T22:42:40.763Z,
1265903,2002048339,1936478,Recolectado,2021-03-30T22:39:13.369Z,
1265876,1002048261,1936449,Recolectado,2021-03-30T22:24:14.552Z,
1265866,3002048118,1936437,Recolectado,2021-03-30T22:17:04.492Z,
1265846,3002048106,1936415,Recolectado,2021-03-30T22:03:24.325Z,
1265824,3002048096,1936386,Recolectado,2021-03-30T21:50:34.516Z,
1265816,3002048090,1936375,Recolectado,2021-03-30T21:46:19.829Z,
1265811,3002048182,1936365,Recolectado,2021-03-30T21:46:08.111Z,
1265793,3002048185,1936337,Recolectado,2021-03-30T21:35:25.537Z,
1265788,1002048068,1936331,Recolectado,2021-03-30T21:31:07.273Z,
1265782,3002048177,1936317,Recolectado,2021-03-30T21:25:27.086Z,
1265743,1002048046,1936273,Recolectado,2021-03-30T21:01:26.627Z,
1265743,1002048046,1936271,Recolectado,2021-03-30T21:01:23.013Z,
1265743,1002048046,1936270,Recolectado,2021-03-30T21:01:21.684Z,
1265721,1002048028,1936244,Recolectado,2021-03-30T20:49:02.729Z,
1265709,1002048020,1936229,Recolectado,2021-03-30T20:41:19.733Z,
1265704,3002048016,1936222,Recolectado,2021-03-30T20:35:45.769Z,
1265683,3002047998,1936200,Recolectado,2021-03-30T20:20:57.002Z,
1265679,1002047986,1936195,Recolectado,2021-03-30T20:15:36.471Z,
1265678,1002047981,1936194,Recolectado,2021-03-30T20:15:34.788Z,
1265662,3002047892,1936179,Recolectado,2021-03-30T20:01:02.286Z,
1265661,1002047974,1936178,Recolectado,2021-03-30T20:01:02.165Z,
1265622,1002047878,1936133,Recolectado,2021-03-30T19:37:54.974Z,
1265601,2002047809,1936107,Recolectado,2021-03-30T19:28:30.680Z,
1265601,2002047809,1936106,Recolectado,2021-03-30T19:28:29.307Z,
1265600,3002047807,1936105,Recolectado,2021-03-30T19:27:50.489Z,
1265596,1002047800,1936101,Recolectado,2021-03-30T19:24:49.810Z,
1265584,1002047783,1936087,Recolectado,2021-03-30T19:15:39.124Z,
