Order Id, Order Ref, Fulfilment Id, Status, CreatedOn
1200752,3001949560,1856643,Recolectado,2021-02-24T02:06:34.674Z,
1200740,1001949546,1856628,Recolectado,2021-02-24T02:02:54.293Z,
1200735,2001949537,1856620,Recolectado,2021-02-24T02:01:22.737Z,
1200721,1001949404,1856604,Recolectado,2021-02-24T01:55:50.575Z,
1200720,3001949520,1856603,Recolectado,2021-02-24T01:55:19.538Z,
1200704,1001949507,1856581,Recolectado,2021-02-24T01:51:33.236Z,
1200704,1001949507,1856580,Recolectado,2021-02-24T01:51:31.685Z,
1200675,1001949487,1856535,Recolectado,2021-02-24T01:44:24.429Z,
1200674,3001949377,1856534,Recolectado,2021-02-24T01:43:37.337Z,
1200665,3001949476,1856521,Recolectado,2021-02-24T01:41:51.882Z,
1200665,3001949476,1856520,Recolectado,2021-02-24T01:41:50.295Z,
1200665,3001949476,1856519,Recolectado,2021-02-24T01:41:48.987Z,
1200624,1001949443,1856466,Recolectado,2021-02-24T01:30:36.741Z,
1200602,2001949325,1856437,Recolectado,2021-02-24T01:23:27.947Z,
1200593,3001949307,1856428,Recolectado,2021-02-24T01:20:39.776Z,
1200514,3001949218,1856316,Recolectado,2021-02-24T00:58:20.073Z,
1200509,1001949106,1856310,Recolectado,2021-02-24T00:54:59.424Z,
1200488,1001949191,1856285,Recolectado,2021-02-24T00:50:29.200Z,
1200485,1001949187,1856281,Recolectado,2021-02-24T00:49:40.536Z,
1200477,3001949091,1856272,Recolectado,2021-02-24T00:47:02.911Z,
1200423,1001949068,1856190,Recolectado,2021-02-24T00:31:51.323Z,
1200409,1001949028,1856163,Recolectado,2021-02-24T00:28:33.693Z,
1200354,3001949036,1856080,Recolectado,2021-02-24T00:10:17.009Z,
1200350,1001948971,1856076,Recolectado,2021-02-24T00:09:20.896Z,
1200348,3001948970,1856073,Recolectado,2021-02-24T00:09:08.451Z,
1200342,3001948965,1856068,Recolectado,2021-02-24T00:08:01.096Z,
1200341,3001948963,1856067,Recolectado,2021-02-24T00:07:51.488Z,
1200337,1001948958,1856063,Recolectado,2021-02-24T00:06:49.003Z,
1200321,1001948937,1856041,Recolectado,2021-02-24T00:00:54.666Z,
1200317,3001948891,1856036,Recolectado,2021-02-24T00:00:08.179Z,
1200272,1001948771,1855984,Recolectado,2021-02-23T23:46:07.994Z,
1200242,3001948784,1855946,Recolectado,2021-02-23T23:36:56.967Z,
1200209,3001948839,1855906,Recolectado,2021-02-23T23:28:38.295Z,
1200199,1001948747,1855893,Recolectado,2021-02-23T23:24:25.680Z,
1200196,1001948742,1855889,Recolectado,2021-02-23T23:22:00.718Z,
1200190,1001948739,1855881,Recolectado,2021-02-23T23:20:25.754Z,
1200169,3001948699,1855851,Recolectado,2021-02-23T23:14:22.279Z,
1200147,2001948608,1855823,Recolectado,2021-02-23T23:06:35.241Z,
1200136,1001948600,1855811,Recolectado,2021-02-23T23:02:03.300Z,
1200126,1001948590,1855796,Recolectado,2021-02-23T23:01:06.392Z,
1200122,1001948663,1855794,Recolectado,2021-02-23T23:00:50.632Z,
1200096,1001948641,1855760,Recolectado,2021-02-23T22:52:08.642Z,
1200093,1001948589,1855757,Recolectado,2021-02-23T22:50:50.929Z,
1200042,3001948486,1855691,Recolectado,2021-02-23T22:31:24.417Z,
1200010,2001948460,1855653,Recolectado,2021-02-23T22:25:19.799Z,
1200004,1001948450,1855646,Recolectado,2021-02-23T22:21:36.518Z,
1199994,1001948436,1855631,Recolectado,2021-02-23T22:19:18.459Z,
1199994,1001948436,1855630,Recolectado,2021-02-23T22:19:16.760Z,
1199994,1001948436,1855629,Recolectado,2021-02-23T22:19:15.507Z,
1199976,3001948414,1855603,Recolectado,2021-02-23T22:14:11.750Z,
1199970,3001948409,1855597,Recolectado,2021-02-23T22:11:55.848Z,
1199962,3001948393,1855587,Recolectado,2021-02-23T22:07:29.718Z,
1199962,3001948393,1855586,Recolectado,2021-02-23T22:07:27.041Z,
1199962,3001948393,1855585,Recolectado,2021-02-23T22:07:25.550Z,
1199947,1001948380,1855570,Recolectado,2021-02-23T22:03:16.252Z,
1199947,1001948380,1855569,Recolectado,2021-02-23T22:03:14.121Z,
1199947,1001948380,1855568,Recolectado,2021-02-23T22:03:10.877Z,
1199947,1001948380,1855567,Recolectado,2021-02-23T22:03:09.536Z,
1199915,1001948287,1855531,Recolectado,2021-02-23T21:54:06.133Z,
1199905,1001948282,1855521,Recolectado,2021-02-23T21:51:20.133Z,
1199831,3001948193,1855424,Recolectado,2021-02-23T21:27:00.960Z,
1199829,1001948189,1855422,Recolectado,2021-02-23T21:26:15.882Z,
1199829,1001948189,1855421,Recolectado,2021-02-23T21:26:14.481Z,
1199815,3001948173,1855406,Recolectado,2021-02-23T21:22:52.491Z,
1199779,1001948141,1855363,Recolectado,2021-02-23T21:12:02.832Z,
1199746,3001948072,1855325,Recolectado,2021-02-23T21:00:16.995Z,
1199700,1001948073,1855271,Recolectado,2021-02-23T20:44:03.612Z,
1199668,3001947954,1855225,Recolectado,2021-02-23T20:31:08.074Z,
1199662,1001948043,1855216,Recolectado,2021-02-23T20:30:18.309Z,
1199546,2001947852,1855072,Recolectado,2021-02-23T19:55:21.918Z,
1199545,3001947615,1855071,Recolectado,2021-02-23T19:54:23.838Z,
1199497,1001947766,1855000,Recolectado,2021-02-23T19:37:50.258Z,
1199460,3001947580,1854948,Recolectado,2021-02-23T19:26:24.015Z,
1199458,3001947577,1854946,Recolectado,2021-02-23T19:25:20.184Z,
1199451,1001947571,1854938,Recolectado,2021-02-23T19:22:13.438Z,
1199451,1001947571,1854937,Recolectado,2021-02-23T19:22:11.898Z,
1199420,1001947701,1854902,Recolectado,2021-02-23T19:15:45.106Z,
1199403,1001947553,1854877,Recolectado,2021-02-23T19:06:47.398Z,
1199369,1001947521,1854837,Recolectado,2021-02-23T18:56:03.489Z,
1199367,1001947519,1854835,Recolectado,2021-02-23T18:55:43.414Z,
1199350,3001947327,1854812,Recolectado,2021-02-23T18:48:07.252Z,
1199257,1001947431,1854684,Recolectado,2021-02-23T18:15:22.254Z,
