Order Id, Status, CreatedOn, SKU Refs
358961,Fulfilment con Cancelacion,2020-07-24T19:49:15.423Z,{'40442098'}
358886,Fulfilment con Cancelacion,2020-07-24T19:36:13.658Z,{'40317765'}
358479,Fulfilment con Cancelacion,2020-07-24T18:34:52.192Z,{'40404861', '40616675'}
358400,Orden con Cancelacion,2020-07-24T18:25:00.243Z,{'40758150'}
358220,Orden con Cancelacion,2020-07-24T17:50:39.616Z,{'40793528'}
358020,Orden con Cancelacion,2020-07-24T17:16:15.983Z,{'40880954', '40574378'}
357999,Fulfilment en Proceso,2020-07-24T17:15:04.694Z,{'40317765'}
357895,Solicitud de Devolución Iniciada,2020-07-24T16:56:57.822Z,{'40659368'}
357579,Orden con Cancelacion,2020-07-24T16:09:29.652Z,{'40650788', '40661157', '40462288'}
357139,Fulfilment con Cancelacion,2020-07-24T14:41:48.748Z,{'40882827', '40780860', '40429352', '40615214'}
356662,Solicitud de Devolución Iniciada,2020-07-24T08:02:29.679Z,{'40225110'}
356486,Fulfilment en Proceso,2020-07-24T06:14:44.545Z,{'40767857', '40767969', '40767858'}
356223,Fulfilment en Proceso,2020-07-24T04:45:52.317Z,{'40729756', '40728649'}
355877,Fulfilment con Cancelacion,2020-07-24T03:09:19.440Z,{'40634175', '40472117', '40368204', '40698654'}
355409,Fulfilment en Proceso,2020-07-24T01:05:42.401Z,{'40745176', '40749932', '40800344'}
354831,Orden con Cancelacion,2020-07-23T22:52:43.049Z,{'40265839'}
354765,Fulfilment en Proceso,2020-07-23T22:39:15.260Z,{'40473228'}
354535,Solicitud de Devolución Iniciada,2020-07-23T21:46:09.123Z,{'40538846'}
354220,Orden con Cancelacion,2020-07-23T20:23:52.685Z,{'40071857'}
354041,Orden con Cancelacion,2020-07-23T19:33:11.616Z,{'40533995', '40434145', '40285588', '40800344'}
353859,Fulfilment con Cancelacion,2020-07-23T18:44:53.246Z,{'40115854', '40561286', '40390288', '40633986'}
353737,Fulfilment en Proceso,2020-07-23T18:08:51.066Z,{'40435334'}
353571,Orden con Cancelacion,2020-07-23T17:31:06.228Z,{'40435614', '40435403', '40435611'}
353351,Solicitud de Devolución Iniciada,2020-07-23T16:31:06.052Z,{'40502924'}
353210,Fulfilment en Proceso,2020-07-23T15:54:37.450Z,{'40772061'}
353202,Fulfilment en Proceso,2020-07-23T15:53:08.384Z,{'40071845'}
353186,Fulfilment en Proceso,2020-07-23T15:49:39.029Z,{'40657051', '40608586', '40628480'}
353134,Fulfilment en Proceso,2020-07-23T15:35:51.974Z,{'40771189', '39367696', '40429182'}
352761,Fulfilment en Proceso,2020-07-23T11:05:15.628Z,{'40035912', '40621705', '40885433', '40494643', '40478655', '40842128', '40035904'}
352722,Fulfilment en Proceso,2020-07-23T07:53:39.278Z,{'40671732', '40974347', '40452605'}
352582,Fulfilment con Cancelacion,2020-07-23T05:42:43.023Z,{'40529842', '40529815'}
352555,Orden con Cancelacion,2020-07-23T05:30:13.772Z,{'40530160', '40503340'}
351784,Orden con Cancelacion,2020-07-23T01:31:04.462Z,{'40767857', '40767962'}
351530,Orden con Cancelacion,2020-07-23T00:25:12.237Z,{'40779743'}
350813,Orden con Cancelacion,2020-07-22T21:31:03.191Z,{'39697628'}
350740,Solicitud de Devolución Iniciada,2020-07-22T21:15:34.897Z,{'40865795', '40865816'}
350613,Fulfilment con Cancelacion,2020-07-22T20:43:06.789Z,{'40368899', '40368877', '40502913', '40455764', '40368875', '40455777'}
350198,Fulfilment con Cancelacion,2020-07-22T18:54:45.461Z,{'40643405'}
349891,Fulfilment en Proceso,2020-07-22T17:40:33.036Z,{'40453900', '40565832'}
349611,Fulfilment con Cancelacion,2020-07-22T16:33:37.280Z,{'40826457', '38315796'}
349587,Fulfilment con Cancelacion,2020-07-22T16:26:05.795Z,{'40591359', '40591284'}
349401,Fulfilment en Proceso,2020-07-22T15:30:20.313Z,{'40750617'}
348967,Orden con Cancelacion,2020-07-22T06:31:06.755Z,{'40662191'}
348890,Orden con Cancelacion,2020-07-22T05:46:04.048Z,{'40169458', '40592356', '40502386', '40125375', '40390480', '40613281', '40530269'}
348824,Fulfilment con Cancelacion,2020-07-22T05:17:52.817Z,{'40592362', '40761634', '40593869', '40620124', '40489207', '40663905', '40903218'}
348744,Fulfilment en Proceso,2020-07-22T04:56:57.058Z,{'40441600', '40526629'}
348691,Cancelado,2020-07-22T04:46:05.707Z,{'40561272', '40639446'}
348120,Cancelado por Validacion,2020-07-22T03:02:38.981Z,{'40482419'}
347877,Cancelado,2020-07-22T02:20:14.406Z,{'40155503'}
347555,Fulfilment con Cancelacion,2020-07-22T01:23:44.423Z,{'40517906', '40461804', '40517902', '40872607', '40530220', '40530268', '40630337', '40476004', '40363607'}
347440,Fulfilment en Proceso,2020-07-22T01:02:11.950Z,{'40621720', '40700585'}
347081,Fulfilment con Cancelacion,2020-07-21T23:57:21.887Z,{'40529765', '40698652'}
345917,Fulfilment con Cancelacion,2020-07-21T20:23:46.105Z,{'37451133'}
345629,Fulfilment con Cancelacion,2020-07-21T19:29:55.791Z,{'40787234', '40432705'}
345490,Fulfilment en Proceso,2020-07-21T19:03:06.551Z,{'40779743'}
345406,Fulfilment con Cancelacion,2020-07-21T18:47:31.774Z,{'40904904'}
344966,Orden con Cancelacion,2020-07-21T17:26:27.215Z,{'40125375'}
344885,Fulfilment en Proceso,2020-07-21T17:11:38.334Z,{'40592685', '40569535', '40633975', '40454801'}
344773,Cancelado,2020-07-21T16:50:43.125Z,{'40605827', '40428707', '40240739'}
344115,Orden con Cancelacion,2020-07-21T14:09:31.188Z,{'40502278', '40658658', '40503305'}
344080,Orden con Cancelacion,2020-07-21T13:46:05.527Z,{'40385838', '40608364', '40616206', '40636469', '40386108'}
343956,Fulfilment con Cancelacion,2020-07-21T10:24:01.693Z,{'37451133', '39453226'}
343744,Fulfilment en Proceso,2020-07-21T05:06:14.604Z,{'37607068'}
343719,Solicitud de Devolución Iniciada,2020-07-21T04:58:17.447Z,{'40441718', '40385821'}
343630,Fulfilment con Cancelacion,2020-07-21T04:32:15.810Z,{'40515726'}
343504,Fulfilment con Cancelacion,2020-07-21T03:57:39.650Z,{'40586638'}
343474,Fulfilment con Cancelacion,2020-07-21T03:50:59.172Z,{'40380530'}
343462,Orden con Cancelacion,2020-07-21T03:47:43.195Z,{'40809473', '40809843'}
343379,Fulfilment en Proceso,2020-07-21T03:31:47.837Z,{'40739131'}
342497,Cancelado,2020-07-21T00:12:41.760Z,{'40453730'}
342268,Solicitud de Devolución Iniciada,2020-07-20T23:27:16.268Z,{'40749895'}
341817,Fulfilment con Cancelacion,2020-07-20T21:53:07.536Z,{'40561053'}
341641,Solicitud de Devolución Iniciada,2020-07-20T21:15:04.633Z,{'38298133'}
