Order Id, Order Ref, Fulfilment Id, Status, CreatedOn, Estafeta tracking Number
1110508,1001816286,1727815,Recolectado,2021-01-30T20:43:41.292Z,'
1110494,1001816262,1727796,Recolectado,2021-01-30T20:39:35.690Z,'
1110491,1001816258,1727790,Recolectado,2021-01-30T20:37:54.279Z,'
1110480,1001816245,1727776,Recolectado,2021-01-30T20:34:33.085Z,'
1110480,1001816245,1727775,Recolectado,2021-01-30T20:34:31.465Z,'
1110480,1001816245,1727774,Recolectado,2021-01-30T20:34:30.129Z,'
1110442,1001816102,1727719,Recolectado,2021-01-30T20:25:24.898Z,'
1110431,1001816085,1727707,Recolectado,2021-01-30T20:23:13.072Z,'
1110418,3001816140,1727690,Recolectado,2021-01-30T20:19:13.427Z,'
1110410,3001815917,1727675,Recolectado,2021-01-30T20:16:06.805Z,'
1110406,3001815892,1727672,Recolectado,2021-01-30T20:16:06.179Z,'
1110381,1001816020,1727643,Recolectado,2021-01-30T20:09:01.891Z,'
1110381,1001816020,1727641,Recolectado,2021-01-30T20:08:57.795Z,'
1110381,1001816020,1727640,Recolectado,2021-01-30T20:08:55.552Z,'
1110330,1001815900,1727567,Recolectado,2021-01-30T19:58:01.794Z,'
1110321,3001815967,1727556,Recolectado,2021-01-30T19:56:04.167Z,'
1110276,1001815827,1727494,Recolectado,2021-01-30T19:40:25.848Z,'
1110272,1001815824,1727488,Recolectado,2021-01-30T19:39:00.132Z,'
1110266,1001815859,1727478,Recolectado,2021-01-30T19:37:07.452Z,'
1110259,1001815811,1727471,Recolectado,2021-01-30T19:35:26.897Z,'
1110258,3001815857,1727470,Recolectado,2021-01-30T19:35:26.549Z,'
1110254,3001815804,1727465,Recolectado,2021-01-30T19:33:43.380Z,'
1110254,3001815804,1727464,Recolectado,2021-01-30T19:33:40.455Z,'
1110254,3001815804,1727463,Recolectado,2021-01-30T19:33:37.976Z,'
1110218,3001815772,1727419,Recolectado,2021-01-30T19:28:48.699Z,'
1110218,3001815772,1727418,Recolectado,2021-01-30T19:28:47.510Z,'
1110202,1001815755,1727395,Recolectado,2021-01-30T19:25:29.382Z,'
1110162,1001815641,1727348,Recolectado,2021-01-30T19:16:13.013Z,'
1110159,1001815592,1727339,Recolectado,2021-01-30T19:16:06.644Z,'
1110157,3001815686,1727338,Recolectado,2021-01-30T19:16:03.764Z,'
1110111,3001815586,1727278,Recolectado,2021-01-30T19:02:25.942Z,'
1110111,3001815586,1727275,Recolectado,2021-01-30T19:02:22.684Z,'
1110111,3001815586,1727274,Recolectado,2021-01-30T19:02:20.752Z,'
1110111,3001815586,1727273,Recolectado,2021-01-30T19:02:19.439Z,'
1110087,1001815452,1727239,Recolectado,2021-01-30T19:00:06.989Z,'
1110082,3001815574,1727231,Recolectado,2021-01-30T18:59:23.827Z,'
1103904,3001806057,1727224,Recolectado,2021-01-30T18:56:24.314Z,'
1110048,3001815548,1727184,Recolectado,2021-01-30T18:50:39.290Z,'
1110046,1001815485,1727182,Recolectado,2021-01-30T18:49:57.522Z,'
1110023,3001815416,1727144,Recolectado,2021-01-30T18:45:06.415Z,'
1110011,1001815462,1727137,Recolectado,2021-01-30T18:43:44.096Z,'
1109993,3001815321,1727116,Recolectado,2021-01-30T18:38:42.601Z,'
1109983,1001815423,1727102,Recolectado,2021-01-30T18:35:23.277Z,'
1109968,3001815384,1727074,Recolectado,2021-01-30T18:31:12.627Z,'
1109961,3001815284,1727070,Recolectado,2021-01-30T18:31:10.120Z,'
1109927,1001815395,1727034,Recolectado,2021-01-30T18:24:13.828Z,'
1109885,3001815359,1726980,Recolectado,2021-01-30T18:14:36.023Z,'
1109879,3001815355,1726975,Recolectado,2021-01-30T18:13:15.763Z,'
1109856,3001815220,1726946,Recolectado,2021-01-30T18:07:34.861Z,'
1109824,1001815181,1726905,Recolectado,2021-01-30T17:59:15.437Z,'
1109823,3001815179,1726904,Recolectado,2021-01-30T17:59:10.920Z,'
1109801,1001815154,1726875,Recolectado,2021-01-30T17:52:41.971Z,'
1109750,3001815100,1726808,Recolectado,2021-01-30T17:35:03.765Z,'
1109743,1001815095,1726799,Recolectado,2021-01-30T17:32:29.576Z,'
1109737,1001815089,1726788,Recolectado,2021-01-30T17:31:13.984Z,'
