Order Id, Order Ref, Fulfilment Id, Status, CreatedOn
1290590,3002085069,1966354,Recolectado,2021-04-13T19:08:05.603Z,
1290589,3002085067,1966353,Recolectado,2021-04-13T19:08:00.201Z,
1290561,1002085045,1966324,Recolectado,2021-04-13T18:57:45.190Z,
1290561,1002085045,1966323,Recolectado,2021-04-13T18:57:43.365Z,
1290527,2002084913,1966286,Recolectado,2021-04-13T18:43:09.050Z,
1290521,1002084908,1966280,Recolectado,2021-04-13T18:41:21.764Z,
1290520,3002084906,1966279,Recolectado,2021-04-13T18:40:09.589Z,
1290513,1002084899,1966272,Recolectado,2021-04-13T18:37:25.648Z,
1290457,3002084686,1966204,Recolectado,2021-04-13T18:15:04.828Z,
1290403,1002084793,1966149,Recolectado,2021-04-13T17:50:18.977Z,
1290399,3002084789,1966142,Recolectado,2021-04-13T17:48:54.625Z,
1290383,3002084669,1966126,Recolectado,2021-04-13T17:42:22.395Z,
1290363,3002084659,1966104,Recolectado,2021-04-13T17:30:55.881Z,
1290347,1002084743,1966085,Recolectado,2021-04-13T17:27:40.584Z,
1290338,3002084632,1966076,Recolectado,2021-04-13T17:21:35.796Z,
1290320,2002084640,1966056,Recolectado,2021-04-13T17:16:40.138Z,
1290304,3002084432,1966039,Recolectado,2021-04-13T17:13:22.865Z,
1290280,3002084582,1966015,Recolectado,2021-04-13T17:04:16.186Z,
1290246,3002084407,1965979,Recolectado,2021-04-13T16:45:15.478Z,
1290233,3002084405,1965965,Recolectado,2021-04-13T16:42:40.960Z,
1290223,3002084395,1965954,Recolectado,2021-04-13T16:39:08.887Z,
1290201,1002084472,1965929,Recolectado,2021-04-13T16:31:05.993Z,
1290189,2002084378,1965914,Recolectado,2021-04-13T16:25:53.308Z,
1290176,3002084475,1965901,Recolectado,2021-04-13T16:18:59.163Z,
1290173,3002084372,1965898,Recolectado,2021-04-13T16:16:50.500Z,
1290169,3002084438,1965895,Recolectado,2021-04-13T16:15:17.834Z,
1290169,3002084438,1965894,Recolectado,2021-04-13T16:15:16.421Z,
1290167,3002084356,1965892,Recolectado,2021-04-13T16:15:08.856Z,
1290121,1002084322,1965841,Recolectado,2021-04-13T15:54:26.430Z,
1290119,3002084318,1965839,Recolectado,2021-04-13T15:52:50.671Z,
1290066,1002084274,1965771,Recolectado,2021-04-13T15:25:57.210Z,
1289940,1002084162,1965613,Recolectado,2021-04-13T14:25:51.657Z,
1289934,1002084152,1965604,Recolectado,2021-04-13T14:19:46.652Z,
1289931,1002084150,1965602,Recolectado,2021-04-13T14:16:15.561Z,
1289911,3002084047,1965578,Recolectado,2021-04-13T14:01:55.942Z,
1289911,3002084047,1965577,Recolectado,2021-04-13T14:01:51.383Z,
1289881,1002084003,1965541,Recolectado,2021-04-13T13:36:12.847Z,
1289881,1002084003,1965540,Recolectado,2021-04-13T13:36:10.277Z,
1289816,3002083813,1965468,Recolectado,2021-04-13T12:31:21.072Z,
1289811,3002083811,1965461,Recolectado,2021-04-13T12:26:20.501Z,
1289774,1002083902,1965417,Recolectado,2021-04-13T08:18:19.027Z,
1289731,3002083852,1965350,Recolectado,2021-04-13T04:43:55.325Z,
1289724,1002083847,1965341,Recolectado,2021-04-13T04:36:11.089Z,
1289661,3002083678,1965270,Recolectado,2021-04-13T03:31:16.139Z,
1289615,1002083639,1965219,Recolectado,2021-04-13T02:56:56.891Z,
1289612,3002083636,1965216,Recolectado,2021-04-13T02:55:54.376Z,
1289608,1002083514,1965205,Recolectado,2021-04-13T02:51:01.018Z,
1289600,1002083606,1965196,Recolectado,2021-04-13T02:46:05.911Z,
1289599,1002083596,1965195,Recolectado,2021-04-13T02:46:05.658Z,
1289596,1002083625,1965192,Recolectado,2021-04-13T02:42:30.001Z,
1289596,1002083625,1965191,Recolectado,2021-04-13T02:42:27.137Z,
1289591,1002083620,1965185,Recolectado,2021-04-13T02:39:45.616Z,
1289578,1002083609,1965172,Recolectado,2021-04-13T02:32:07.649Z,
1289576,3002083492,1965169,Recolectado,2021-04-13T02:31:04.609Z,
1289558,3002083582,1965149,Recolectado,2021-04-13T02:19:08.907Z,
1289542,1002083487,1965131,Recolectado,2021-04-13T02:08:14.923Z,
1289540,3002083562,1965129,Recolectado,2021-04-13T02:06:55.369Z,
1289539,3002083560,1965128,Recolectado,2021-04-13T02:06:30.135Z,
1289521,3002083475,1965108,Recolectado,2021-04-13T01:53:28.221Z,
1289484,3002083411,1965062,Recolectado,2021-04-13T01:26:45.613Z,
1289396,1002083223,1964957,Recolectado,2021-04-13T00:30:25.256Z,
1289341,2002083275,1964886,Recolectado,2021-04-12T23:50:38.557Z,
1289307,1002083176,1964847,Recolectado,2021-04-12T23:24:43.395Z,
1289286,3002083167,1964823,Recolectado,2021-04-12T23:10:43.985Z,
1289280,1002083162,1964817,Recolectado,2021-04-12T23:06:06.125Z,
1289268,3002083097,1964803,Recolectado,2021-04-12T23:00:06.098Z,
1289208,1002082910,1964725,Recolectado,2021-04-12T22:07:09.774Z,
1289127,3002082829,1964636,Recolectado,2021-04-12T21:15:04.554Z,
1289125,2002082942,1964635,Recolectado,2021-04-12T21:14:52.829Z,
1289110,1002082825,1964618,Recolectado,2021-04-12T21:00:09.793Z,
1289095,1002082855,1964601,Recolectado,2021-04-12T20:49:12.959Z,
1289091,3002082851,1964596,Recolectado,2021-04-12T20:46:11.080Z,
1289049,1002082613,1964550,Recolectado,2021-04-12T20:19:53.469Z,
1289026,3002082753,1964523,Recolectado,2021-04-12T19:58:20.875Z,
1289007,1002082730,1964502,Recolectado,2021-04-12T19:40:09.596Z,
1288958,3002082674,1964439,Recolectado,2021-04-12T19:04:05.907Z,
1288930,1002082651,1964397,Recolectado,2021-04-12T18:51:25.942Z,
1288873,1002082496,1964335,Recolectado,2021-04-12T18:12:06.828Z,
1288338,1002081655,1964318,Recolectado,2021-04-12T18:05:53.673Z,
